Temperature,Simulations,Return,Discounted Return,Map
1,38,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,25,0,1.0,0.860513950810667,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,22,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,74,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,40,0,1.0,0.7863441585589971,"['SHHF', 'FHHF', 'FHHF', 'FFFG']"
1,23,0,1.0,0.7746195551602378,"['SFHH', 'FFFF', 'FHHF', 'HFHG']"
1,14,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,48,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FHFF', 'HHHG']"
1,22,0,1.0,0.9473552137914398,"['SFHH', 'FFHF', 'FFHH', 'FFFG']"
1,24,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HHHG']"
1,40,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,97,0,1.0,0.9332298921513504,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HFFG']"
1,74,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,74,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFFH', 'HHFG']"
1,94,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHFF', 'HHHG']"
1,70,0,1.0,0.9473552137914398,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,17,0,1.0,0.8974819010978248,"['SFFF', 'FHFH', 'HFFF', 'HFHG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SHHH', 'FHFF', 'FHHH', 'FFFG']"
1,40,0,1.0,0.9559328248389055,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,14,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,47,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HFHG']"
1,53,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,40,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'FFFG']"
1,76,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,91,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FHFF', 'HHHG']"
1,15,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HFFG']"
1,65,0,1.0,0.9502058312852957,"['SHHH', 'FFFH', 'HFFF', 'HHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,24,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,42,0,1.0,0.7607805594527743,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,64,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHHG']"
1,50,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,85,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,35,0,1.0,0.7958514863018556,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,58,0,1.0,0.8867604854519608,"['SFFF', 'FHFF', 'FFFH', 'FHFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'HFFG']"
1,19,0,1.0,0.7539540549517295,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,77,0,1.0,0.7958514863018556,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,61,0,1.0,0.9502058312852957,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,35,0,1.0,0.9704017769489168,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHHF', 'HHHG']"
1,73,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,49,0,1.0,0.9445131481500655,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,41,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,64,0,1.0,0.8201257512162927,"['SFHF', 'FFFH', 'FHFF', 'HFHG']"
