,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
321065,500,0.12,-0.0799999999999999,-0.0399999999999999,-0.12,1,52.0,48.21379608954661
300896,500,-0.12,-0.12,0.04,0.04,51,500.0,259.12410747446273
763543,500,0.0,0.12,0.2,-0.12,93,258.0,179.79048611073645
428814,500,0.08,0.04,0.04,0.16,100,312.0,202.78595986381237
189750,500,0.08,-0.0399999999999999,-0.0399999999999999,0.08,7,297.0,196.76790731449051
794157,500,-0.0399999999999999,-0.0799999999999999,0.12,-0.16,17,500.0,259.12410747446273
607593,500,-0.2,-0.16,0.0,0.16,56,500.0,259.12410747446273
484962,500,0.04,0.0,0.08,-0.16,22,311.0,202.3931392816573
350224,500,-0.16,0.04,-0.16,-0.2,33,192.0,146.11466961635549
533631,500,0.2,0.16,0.16,0.08,2,219.0,160.70248070472664
659485,500,0.16,-0.2,0.12,-0.0399999999999999,92,500.0,259.12410747446273
668469,500,0.0,-0.2,-0.12,0.2,32,495.0,258.0008802903204
665897,500,-0.12,-0.0799999999999999,0.04,-0.16,71,349.0,216.52092012335413
470198,500,-0.12,0.08,0.04,-0.0799999999999999,40,500.0,259.12410747446273
151968,500,0.04,0.2,0.2,-0.12,24,209.0,155.43706734402016
916752,500,-0.12,-0.0399999999999999,-0.2,-0.0799999999999999,81,205.0,153.28620491745806
14894,500,-0.0399999999999999,0.12,-0.2,0.2,80,381.0,227.22877009062069
7039,500,0.08,0.12,-0.16,-0.0399999999999999,8,261.0,181.1682302245217
835641,500,0.04,0.2,0.12,0.08,22,179.0,138.6574817806778
50132,500,-0.0799999999999999,0.04,-0.0399999999999999,0.08,12,398.0,232.51215861412837
272557,500,0.08,0.0,-0.0399999999999999,0.16,49,500.0,259.12410747446273
770188,500,-0.0399999999999999,0.04,0.12,-0.0399999999999999,68,336.0,211.868114203521
569128,500,-0.0399999999999999,-0.0799999999999999,0.08,-0.0799999999999999,77,500.0,259.12410747446273
841280,500,-0.0399999999999999,0.16,0.04,-0.0799999999999999,79,393.0,230.9861342839845
695069,500,-0.12,-0.0399999999999999,0.04,-0.0799999999999999,36,500.0,259.12410747446273
214773,500,-0.0399999999999999,0.0,-0.0399999999999999,0.2,7,500.0,259.12410747446273
893323,500,0.0,0.16,0.16,0.08,71,184.0,141.56015121101143
905134,500,-0.2,0.0,-0.12,-0.12,12,410.0,236.08242798092525
386535,500,-0.12,-0.16,0.08,0.08,11,500.0,259.12410747446273
587545,500,0.2,0.04,-0.0399999999999999,-0.0399999999999999,79,500.0,259.12410747446273
131184,500,-0.16,-0.0399999999999999,0.08,-0.16,82,500.0,259.12410747446273
905030,500,-0.0799999999999999,0.04,-0.16,0.0,17,500.0,259.12410747446273
360580,500,-0.16,0.04,-0.0799999999999999,0.2,39,500.0,259.12410747446273
648759,500,0.0,-0.0799999999999999,0.04,0.08,45,500.0,259.12410747446273
482038,500,-0.0799999999999999,0.16,0.12,-0.0399999999999999,52,242.0,172.22906135274312
980205,500,-0.0799999999999999,-0.0799999999999999,0.2,0.0,2,155.0,124.10124796591109
509759,500,0.0,-0.16,-0.12,-0.0399999999999999,7,237.0,169.79059503436116
281057,500,0.08,0.2,-0.12,0.2,92,500.0,259.12410747446273
125464,500,-0.0799999999999999,-0.0399999999999999,-0.0399999999999999,-0.16,20,500.0,259.12410747446273
772920,500,0.12,-0.16,0.04,0.12,56,500.0,259.12410747446273
237301,500,-0.0799999999999999,0.16,0.08,0.12,31,418.0,238.39208897451192
638320,500,0.16,-0.0399999999999999,-0.16,0.2,94,493.0,257.5468434293054
931058,500,-0.0799999999999999,-0.0799999999999999,0.0,0.2,15,500.0,259.12410747446273
902221,500,-0.0399999999999999,0.16,0.16,0.16,17,242.0,172.22906135274312
454825,500,-0.2,-0.0799999999999999,0.16,0.04,80,500.0,259.12410747446273
887063,500,0.04,-0.12,0.2,-0.0799999999999999,95,250.0,176.0552082821252
463215,500,0.0,-0.12,-0.16,0.2,40,500.0,259.12410747446273
7017,500,0.0,-0.0399999999999999,-0.0399999999999999,-0.16,99,345.0,215.1085946361824
619621,500,0.16,0.12,-0.16,-0.0799999999999999,68,283.0,190.90101361073013
297398,500,0.08,0.2,-0.2,0.08,35,277.0,188.3100953271938
442217,500,-0.0399999999999999,0.04,0.16,-0.2,45,500.0,259.12410747446273
5948,500,0.12,0.2,0.0,0.04,76,353.0,217.91637381783931
592839,500,-0.16,0.04,0.2,0.16,81,223.0,162.76474750037698
1039068,500,-0.0399999999999999,-0.16,-0.16,-0.12,80,500.0,259.12410747446273
580574,500,0.2,-0.12,-0.0799999999999999,-0.0799999999999999,62,500.0,259.12410747446273
974872,500,0.08,0.12,0.2,0.04,56,180.0,139.2415093353358
728338,500,-0.2,0.12,0.04,-0.16,63,494.0,257.7742028990175
945408,500,0.2,-0.0399999999999999,0.0,-0.2,71,500.0,259.12410747446273
489939,500,0.2,-0.2,-0.0799999999999999,0.16,45,284.0,191.32831056989795
449566,500,0.2,0.16,0.04,-0.16,93,404.0,234.3133832215705
45628,500,-0.12,0.04,0.16,-0.12,87,362.0,220.9954972211201
445686,500,0.0,0.2,-0.0399999999999999,0.16,57,500.0,259.12410747446273
997941,500,-0.12,-0.2,-0.0399999999999999,0.12,2,361.0,220.65746963001013
852693,500,0.2,0.08,0.04,0.16,19,309.0,201.6039485373445
220626,500,0.2,-0.2,0.08,0.0,100,470.0,252.12452236252395
596837,500,-0.2,0.12,0.08,0.12,35,498.0,258.67684042545164
552256,500,0.0,-0.0799999999999999,0.08,0.04,61,500.0,259.12410747446273
1008954,500,0.2,0.12,-0.16,0.16,28,500.0,259.12410747446273
577560,500,0.0,-0.12,0.2,-0.0799999999999999,37,458.0,249.1431893962916
913103,500,0.08,0.04,-0.0399999999999999,-0.16,61,499.0,258.9008099041753
201701,500,0.12,0.2,0.0,0.04,77,500.0,259.12410747446273
531161,500,0.04,0.04,0.2,-0.12,50,331.0,210.0296226349137
826964,500,0.04,0.16,-0.16,0.16,94,500.0,259.12410747446273
184788,500,0.12,0.0,-0.2,0.12,62,280.0,189.61139275745032
689095,500,-0.2,-0.0399999999999999,0.0,0.16,28,500.0,259.12410747446273
816168,500,-0.12,0.08,0.12,0.04,71,270.0,185.22773007715884
