Temperature,Simulations,Return,Discounted Return,Map
1,29,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'HFFH', 'FFFG']"
1,56,0,1.0,0.9530650263643888,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,33,0,1.0,0.8502341582884777,"['SHFF', 'FHHF', 'FHFF', 'FFFG']"
1,87,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HFHF', 'FHHG']"
1,65,0,1.0,0.798246224976786,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
1,20,0,1.0,0.93603800616986,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,88,0,1.0,0.93603800616986,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
1,95,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFH', 'HFFG']"
1,65,0,0.0,0.0,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,73,0,1.0,0.93603800616986,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,45,0,1.0,0.9083329444789534,"['SHFH', 'FFFF', 'HFFF', 'HHHG']"
1,68,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFHG']"
1,10,0,1.0,0.8275513922024125,"['SFFH', 'HHFH', 'FFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFH', 'FFFG']"
1,78,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,71,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,82,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,66,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,84,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,34,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,63,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,72,0,1.0,0.985089730404757,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,33,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,12,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HHHG']"
1,13,0,1.0,0.8127667407072335,"['SFFF', 'FHFH', 'FHFF', 'HFFG']"
1,49,0,1.0,0.9248559951318693,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'HHFG']"
1,74,0,1.0,0.9445131481500655,"['SFHH', 'FFFH', 'HFHH', 'FFFG']"
1,65,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,91,0,1.0,0.8631032605924442,"['SFFF', 'FFFH', 'HFHH', 'HFFG']"
1,73,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFHF', 'FFHF', 'HFFG']"
1,24,0,1.0,0.9248559951318693,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,34,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,33,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHFG']"
1,73,0,1.0,0.9559328248389055,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'FFFG']"
1,32,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,48,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,7,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
