Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFFF', 'FFHH', 'HFFF', 'FHHG']",52,2,0.0,0.0
1,"['SFFF', 'HHFH', 'FFFF', 'HHHG']",56,10,1.0,0.997
1,"['SFFF', 'FHFF', 'HHFF', 'HHFG']",6,10,1.0,0.997
1,"['SHHF', 'FFHH', 'FFFH', 'HFFG']",62,14,1.0,1.0
1,"['SFFF', 'HFHF', 'FFFF', 'FHHG']",14,5,1.0,0.9502058312852957
1,"['SFFF', 'HFHH', 'HFFH', 'FHFG']",80,10,1.0,0.997
1,"['SFHF', 'HFFF', 'FFFF', 'HFFG']",78,0,1.0,0.9821344612135428
1,"['SFFH', 'HHFF', 'HHFF', 'HHFG']",40,14,1.0,1.0
1,"['SHHF', 'FFHH', 'HFFF', 'HHHG']",4,3,0.0,0.0
1,"['SFHH', 'FHHF', 'FHHH', 'FFFG']",52,12,1.0,0.9821344612135428
1,"['SHHH', 'FFFF', 'FFHF', 'FFFG']",34,4,1.0,0.9616943356035061
1,"['SHFH', 'FFFF', 'HFHF', 'HHHG']",23,5,0.0,0.0
1,"['SHFH', 'FFHH', 'HFFF', 'HHFG']",77,10,1.0,0.997
1,"['SFFF', 'HFHF', 'HHHF', 'HFHG']",86,11,1.0,1.0
1,"['SFFF', 'HHFF', 'FFFF', 'FHFG']",79,1,1.0,0.988053892081
1,"['SFFH', 'HFHF', 'FFHH', 'HFFG']",57,14,1.0,1.0
1,"['SHFH', 'FHHH', 'FHHH', 'FFFG']",78,4,1.0,0.9821344612135428
1,"['SFFF', 'FFHH', 'FFFH', 'HHFG']",23,9,1.0,0.860513950810667
1,"['SHHH', 'FFFH', 'FFHF', 'HFFG']",50,14,1.0,1.0
1,"['SFFF', 'HFHF', 'FFFF', 'FFHG']",8,9,0.0,0.0
1,"['SFFH', 'HHFF', 'HHHF', 'HHHG']",34,6,1.0,0.994009
1,"['SFFF', 'HFFF', 'FHFH', 'HHFG']",79,10,1.0,0.997
1,"['SHHH', 'FFFH', 'FHFF', 'HFHG']",29,13,0.0,0.0
1,"['SHFF', 'FFFH', 'FFFF', 'HFHG']",86,4,1.0,0.985089730404757
1,"['SHHH', 'FFHH', 'FFFH', 'HFFG']",70,0,1.0,0.9821344612135428
1,"['SFHH', 'HFFF', 'HFFH', 'HFFG']",87,5,1.0,0.991026973
1,"['SHHH', 'FFFH', 'HHFF', 'HHHG']",41,4,0.0,0.0
1,"['SFFH', 'FFFF', 'FHHF', 'FHHG']",85,7,1.0,0.997
1,"['SHHH', 'FFHH', 'HFFH', 'HHFG']",89,5,1.0,0.991026973
1,"['SFFH', 'HHFF', 'HHHF', 'FHFG']",59,6,1.0,0.994009
1,"['SFFH', 'HHFF', 'HHHF', 'HFHG']",11,1,1.0,0.8502341582884777
1,"['SFHF', 'FFHF', 'HFHH', 'HFFG']",1,7,0.0,0.0
1,"['SFHF', 'FFHH', 'HFHH', 'FFFG']",75,4,1.0,0.9193151828650342
1,"['SFFH', 'FHHF', 'FFFH', 'HHFG']",45,14,1.0,1.0
1,"['SHHF', 'FFFH', 'HHFF', 'HHHG']",75,11,1.0,1.0
1,"['SHFH', 'FFHH', 'HFFH', 'HHFG']",72,0,0.0,0.0
1,"['SFHF', 'HFFF', 'FHHF', 'FFFG']",46,14,1.0,1.0
1,"['SFHF', 'FFFH', 'FHFF', 'HFFG']",70,1,1.0,0.9762504936564125
1,"['SFHH', 'HFFH', 'HHFF', 'HHHG']",96,11,1.0,1.0
1,"['SFHF', 'HFFF', 'FFFF', 'FFFG']",24,5,1.0,0.9821344612135428
1,"['SFFF', 'FHFH', 'HFFF', 'FHFG']",45,12,0.0,0.0
1,"['SHFF', 'FFFH', 'FFFF', 'FFFG']",61,9,1.0,0.994009
1,"['SFFF', 'FFFH', 'HFFH', 'HFFG']",49,3,1.0,0.9332298921513504
1,"['SFFH', 'HHFH', 'HHFF', 'HHHG']",42,11,1.0,1.0
1,"['SFHH', 'FFFF', 'HHHF', 'HFHG']",1,4,0.0,0.0
1,"['SFFH', 'FFFH', 'FFFH', 'FFFG']",18,6,1.0,0.994009
1,"['SHHF', 'FHHF', 'FFFH', 'HHFG']",18,4,0.0,0.0
1,"['SFFF', 'HFHH', 'HFFF', 'HHHG']",53,3,0.0,0.0
1,"['SFHH', 'FHHH', 'FHFH', 'FFFG']",50,4,1.0,0.988053892081
1,"['SFHH', 'HFHH', 'HFHH', 'HFFG']",44,1,0.0,0.0
1,"['SFHF', 'HFFH', 'HFFH', 'HFFG']",62,9,1.0,0.994009
