Temperature,Simulations,Return,Discounted Return,Map
1,47,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,99,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,62,0,1.0,0.9001824484431542,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,46,0,1.0,0.9674905716180701,"['SHHF', 'FHHF', 'FFFF', 'FFFG']"
1,44,0,1.0,0.8761671489944468,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,17,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'HFHF', 'FHFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHHG']"
1,51,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,53,0,1.0,0.7863441585589971,"['SFHF', 'HFHH', 'HFFH', 'FHFG']"
1,82,0,1.0,0.9473552137914398,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,12,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'FHFG']"
1,72,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,29,0,1.0,0.93603800616986,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,58,0,1.0,0.8325391341551359,"['SFHF', 'FFHF', 'FFFF', 'FFHG']"
1,21,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,77,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FFFF', 'HHHG']"
1,28,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFH', 'FFFG']"
1,83,0,1.0,0.8947894553945313,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,24,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFHH', 'FFFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,38,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,18,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHH', 'FFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,85,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,64,0,1.0,0.7494371162085136,"['SFFH', 'HFHH', 'HFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,79,0,1.0,0.9616943356035061,"['SFHF', 'FHFH', 'FHFF', 'FFFG']"
1,30,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,42,0,1.0,0.8921050870283477,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,20,0,1.0,0.7449472384453084,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'HFHF', 'HFFG']"
1,3,0,1.0,0.8553586117313603,"['SFFF', 'FHHF', 'FHHF', 'HFFG']"
1,11,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,33,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,85,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9674905716180701,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,53,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FHHG']"
