Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFFH', 'HHFH', 'HHFH', 'HHFG']",52,6,1.0,0.994009
1,"['SFFH', 'FFFH', 'FHFF', 'HHFG']",96,0,1.0,0.985089730404757
1,"['SHHF', 'FHHF', 'FHFH', 'FFFG']",28,10,1.0,0.997
1,"['SFFH', 'HFFF', 'FHHF', 'HFHG']",91,2,1.0,0.9704017769489168
1,"['SFHF', 'FFFF', 'HFHF', 'FHFG']",6,3,1.0,0.9791880578299021
1,"['SFFF', 'FHFF', 'HHFH', 'FHFG']",80,7,1.0,0.991026973
1,"['SFHH', 'FHHF', 'FFHH', 'HFFG']",95,9,1.0,0.994009
1,"['SFHF', 'HFFH', 'FHFF', 'FHHG']",52,1,1.0,0.9473552137914398
1,"['SHHH', 'FFHF', 'FFFF', 'HHFG']",77,0,1.0,0.9416796087056153
1,"['SHFF', 'FFFF', 'FFFF', 'FHFG']",63,2,1.0,0.988053892081
1,"['SFFH', 'FHFF', 'FHFF', 'HFHG']",89,7,1.0,0.997
1,"['SFHH', 'HFFF', 'FFHF', 'HFHG']",69,9,1.0,0.9762504936564125
1,"['SHHH', 'FFHH', 'HFFF', 'HHHG']",58,5,0.0,0.0
1,"['SFFH', 'FHFF', 'FHHF', 'HFFG']",69,13,1.0,0.997
1,"['SHHH', 'FFFF', 'HFFF', 'FFHG']",86,12,1.0,0.988053892081
1,"['SHFH', 'FHHH', 'FHHH', 'FFFG']",27,0,0.0,0.0
1,"['SHHF', 'FFFH', 'HHFH', 'HHFG']",18,0,0.0,0.0
1,"['SFFH', 'HHFH', 'HFFF', 'HHHG']",51,9,1.0,0.994009
1,"['SHHH', 'FHFF', 'FFFF', 'HFHG']",55,4,1.0,0.988053892081
1,"['SFFF', 'FFFF', 'FHHF', 'HFHG']",63,7,1.0,0.997
1,"['SHHH', 'FFFF', 'HHHF', 'HFFG']",16,6,1.0,0.994009
1,"['SHHH', 'FFHH', 'HFFF', 'HHHG']",94,0,0.0,0.0
1,"['SFFH', 'HFHF', 'HFFH', 'HHFG']",99,5,1.0,0.9220814271464737
1,"['SFFF', 'HFHF', 'HHHF', 'HHFG']",77,5,1.0,0.9821344612135428
1,"['SFHH', 'HFFF', 'FFFH', 'HFFG']",35,7,0.0,0.0
1,"['SFFF', 'FFHF', 'FFHF', 'FFHG']",21,0,1.0,0.9445131481500655
1,"['SFFH', 'HFFF', 'HHFF', 'HHHG']",24,0,1.0,0.9559328248389055
1,"['SHHH', 'FFFF', 'HHHF', 'HHFG']",69,11,1.0,1.0
1,"['SHHH', 'FFFH', 'HFFH', 'HHFG']",8,9,1.0,0.9821344612135428
1,"['SFHF', 'FFFF', 'FFHH', 'FFFG']",80,0,1.0,0.9733217421754432
1,"['SFHF', 'HFHH', 'FFHH', 'HFFG']",67,14,1.0,1.0
1,"['SFHF', 'FFFF', 'FHFF', 'FHHG']",71,12,1.0,0.9388545698794984
1,"['SHHH', 'FFFF', 'FFHH', 'FFFG']",48,4,1.0,0.9559328248389055
1,"['SFFH', 'FFFF', 'FFFF', 'FFFG']",2,9,1.0,0.9559328248389055
1,"['SFFH', 'FHFH', 'HFFH', 'HHFG']",89,10,1.0,0.997
1,"['SHFF', 'FFHF', 'FFFF', 'HFHG']",45,4,1.0,0.8631032605924442
1,"['SFFF', 'FHFH', 'HHFF', 'HHHG']",80,1,1.0,0.9645880999032158
