Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",68,11,1.0,1.0
1,"['SFFH', 'FFFH', 'FHFF', 'HHFG']",33,10,1.0,0.997
1,"['SFFF', 'FFFF', 'FHFF', 'FFFG']",72,3,1.0,0.994009
1,"['SFFH', 'FFFF', 'FFHF', 'FFHG']",87,4,1.0,0.9762504936564125
1,"['SHHF', 'FFHH', 'HFFF', 'HHHG']",40,0,0.0,0.0
1,"['SHFH', 'FHHH', 'FFFF', 'HHHG']",35,9,1.0,0.994009
1,"['SFFF', 'HFFH', 'FFFF', 'FHFG']",51,9,1.0,0.994009
1,"['SFFF', 'FFFF', 'FFHF', 'HFFG']",25,7,1.0,0.9821344612135428
1,"['SFFH', 'FHFF', 'HHHF', 'FHFG']",23,11,1.0,1.0
1,"['SHFF', 'FFFH', 'HFFF', 'HHHG']",39,11,1.0,1.0
1,"['SHFH', 'FFFF', 'FHFF', 'FFHG']",9,0,0.0,0.0
1,"['SFFF', 'FHFF', 'FFFH', 'FFFG']",10,12,1.0,0.994009
1,"['SFHF', 'FFFH', 'FFFF', 'FFFG']",44,4,1.0,0.9821344612135428
1,"['SFFF', 'HHHF', 'FFHF', 'FFFG']",33,13,1.0,0.997
1,"['SHHH', 'FFFH', 'HFFH', 'HFFG']",66,5,1.0,0.991026973
1,"['SHHH', 'FHHH', 'FFFF', 'HFHG']",43,10,1.0,0.997
1,"['SFFH', 'HFFH', 'FHFF', 'FFHG']",34,8,0.0,0.0
1,"['SFFF', 'HHHF', 'HFHF', 'FHHG']",42,9,0.0,0.0
1,"['SFFF', 'HFHF', 'HHHF', 'HHFG']",73,0,1.0,0.9791880578299021
1,"['SFFH', 'HHFH', 'FHFF', 'FHFG']",83,10,1.0,0.997
1,"['SHFH', 'FFHH', 'HFFF', 'HHHG']",37,4,0.0,0.0
1,"['SFHH', 'HFFH', 'HHFH', 'FFFG']",53,5,1.0,0.9733217421754432
1,"['SFFF', 'HHFF', 'FHHF', 'FHHG']",50,0,1.0,0.9616943356035061
1,"['SFHF', 'HFFF', 'FFFF', 'FFFG']",11,9,1.0,0.994009
1,"['SHHF', 'FFHH', 'HFFF', 'FFFG']",44,3,0.0,0.0
1,"['SHFH', 'FFFF', 'FHHF', 'HHHG']",65,11,1.0,1.0
1,"['SFHH', 'FFFF', 'HHFF', 'FFHG']",22,6,1.0,0.994009
1,"['SHHH', 'FFFH', 'HHFF', 'FHHG']",52,0,0.0,0.0
1,"['SFFF', 'FHFF', 'FFFH', 'FFFG']",58,6,1.0,0.994009
1,"['SFHH', 'HFFH', 'FFFF', 'HHFG']",54,1,1.0,0.9704017769489168
1,"['SFHF', 'HFFF', 'HFFF', 'HHHG']",96,3,1.0,0.994009
1,"['SHHF', 'FFHF', 'HFFF', 'FHFG']",85,10,1.0,0.997
1,"['SFHH', 'FFFF', 'FHHH', 'FFFG']",84,12,1.0,0.994009
1,"['SFHH', 'HFFF', 'HHFH', 'FFFG']",14,12,1.0,0.991026973
1,"['SHHH', 'FFFF', 'HHFF', 'HHHG']",27,6,0.0,0.0
1,"['SHHF', 'FFFH', 'HHFF', 'HFHG']",59,10,1.0,0.997
1,"['SFFH', 'HFFH', 'FHFH', 'HHFG']",22,6,1.0,0.988053892081
1,"['SFHF', 'HFHH', 'HFHF', 'HFFG']",29,0,0.0,0.0
1,"['SHHF', 'FFHH', 'FFFF', 'HHFG']",93,11,1.0,1.0
1,"['SFHF', 'HFFF', 'FFFF', 'FHFG']",80,11,1.0,1.0
1,"['SFHH', 'FFFH', 'HHFF', 'HHHG']",21,10,1.0,0.997
1,"['SFFH', 'FHFH', 'FFFF', 'FFFG']",88,1,1.0,0.9762504936564125
1,"['SFHF', 'HFHF', 'HFFH', 'FHFG']",93,1,1.0,0.93603800616986
1,"['SHHH', 'FFHH', 'HFHH', 'HFFG']",84,5,1.0,0.991026973
1,"['SFFH', 'HHFH', 'HFFH', 'FHFG']",70,10,1.0,0.997
1,"['SHFF', 'FFFF', 'HFFH', 'FFFG']",66,10,1.0,0.997
1,"['SHFF', 'FFFF', 'HHHF', 'HHFG']",61,7,1.0,0.997
1,"['SHHH', 'FHHF', 'FFFF', 'FFHG']",45,12,0.0,0.0
1,"['SFFF', 'FHFH', 'FFHF', 'HFFG']",24,9,1.0,0.994009
1,"['SHHF', 'FFHH', 'HFFH', 'HHFG']",93,4,0.0,0.0
1,"['SFFH', 'FHFF', 'HFHF', 'FFHG']",26,9,0.0,0.0
1,"['SHFH', 'FFFF', 'FFHH', 'FFFG']",17,0,1.0,0.9559328248389055
1,"['SFHH', 'HFFF', 'HFFH', 'HFFG']",81,5,1.0,0.991026973
1,"['SFFF', 'HFHF', 'HFFH', 'HHFG']",94,10,1.0,0.997
1,"['SFFH', 'HFFH', 'HHFH', 'HFFG']",80,10,1.0,0.997
1,"['SFFF', 'HHFH', 'FFFH', 'FFFG']",32,0,1.0,0.8947894553945313
1,"['SFFF', 'HHFF', 'HFFH', 'HFFG']",55,3,1.0,0.9645880999032158
1,"['SHHH', 'FFHH', 'HFFH', 'FFFG']",20,10,1.0,0.997
1,"['SFHH', 'FFFH', 'FHFF', 'HHFG']",95,4,1.0,0.988053892081
1,"['SFFF', 'FHFF', 'FFFH', 'HFFG']",78,10,1.0,0.997
1,"['SFFH', 'HFFF', 'FFFF', 'FFFG']",11,8,1.0,0.9733217421754432
1,"['SFFH', 'HFHF', 'FFFF', 'HHFG']",97,10,1.0,0.997
1,"['SFFH', 'HFFF', 'HHFF', 'FFFG']",86,1,1.0,0.9791880578299021
1,"['SFHF', 'HFFF', 'FHFH', 'FHFG']",1,3,0.0,0.0
1,"['SHHF', 'FFFF', 'FHFF', 'FHHG']",1,4,0.0,0.0
1,"['SHHH', 'FFFF', 'HHHF', 'HHFG']",12,0,0.0,0.0
1,"['SHFH', 'FHHF', 'FFFF', 'FHHG']",60,11,1.0,1.0
1,"['SFFF', 'HHHF', 'HHFF', 'FHHG']",65,12,0.0,0.0
1,"['SHFF', 'FFFH', 'FHFF', 'HFHG']",16,2,1.0,0.857932408958235
1,"['SFFF', 'FFFH', 'HHFH', 'FFFG']",36,12,1.0,0.994009
1,"['SFFF', 'HFHH', 'FFHF', 'HFFG']",38,14,1.0,1.0
1,"['SHHH', 'FFHH', 'HFHH', 'HFFG']",41,14,1.0,1.0
1,"['SHFH', 'FFFH', 'FHFF', 'HFHG']",94,4,0.0,0.0
1,"['SFFF', 'FFFH', 'FFFF', 'FHFG']",65,9,1.0,0.994009
1,"['SFHF', 'FFHH', 'FFFF', 'HHHG']",81,8,1.0,0.991026973
1,"['SFHH', 'FFHH', 'HFFF', 'HFFG']",85,4,1.0,0.9762504936564125
1,"['SHHF', 'FHHH', 'FFHH', 'HFFG']",48,4,1.0,0.988053892081
1,"['SFHH', 'FFFF', 'HHHF', 'FHFG']",81,6,1.0,0.994009
1,"['SFHF', 'FFFH', 'FFFF', 'FFFG']",8,10,1.0,0.997
1,"['SFFH', 'FFFF', 'FHHF', 'FHHG']",8,5,0.0,0.0
1,"['SHHH', 'FFFF', 'HHFF', 'HHHG']",39,11,1.0,1.0
1,"['SFHH', 'FFHH', 'HFFH', 'HHFG']",51,4,1.0,0.9616943356035061
