Temperature,Simulations,Return,Discounted Return,Map
1,74,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,30,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHHG']"
1,16,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,21,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,40,0,1.0,0.7630697687590515,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFHF', 'FHFG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFHF', 'HFHG']"
1,68,0,1.0,0.8527925358961662,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,31,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,48,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,93,0,1.0,0.8631032605924442,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,51,0,1.0,0.9248559951318693,"['SFFF', 'FFHH', 'FFHF', 'FFFG']"
1,63,0,1.0,0.8894287717672626,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,29,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,74,0,1.0,0.8103284404851119,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFH', 'FFFG']"
1,59,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHHG']"
1,6,0,1.0,0.8476834558136123,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,6,0,1.0,0.8078974551636565,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,19,0,1.0,0.8325391341551359,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,93,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'HFHG']"
1,68,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,29,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFHH', 'FHFF', 'FFFG']"
1,19,0,1.0,0.8814479033836181,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,81,0,1.0,0.9332298921513504,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,94,0,1.0,0.9762504936564125,"['SHFH', 'FHHF', 'FFFH', 'FFFG']"
1,63,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,48,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'HFFG']"
