Temperature,Simulations,Return,Discounted Return,Map
1,13,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,65,0,1.0,0.8788035596734672,"['SFFH', 'FFHH', 'HFFF', 'HHFG']"
1,75,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'HFFF', 'HFHG']"
1,49,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'FHFG']"
1,44,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,31,0,1.0,0.8201257512162927,"['SFHH', 'FFFH', 'HHFF', 'FHFG']"
1,34,0,1.0,0.90289112180858,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,7,0,0.0,0.0,"['SFHH', 'FHFF', 'FHFF', 'FFFG']"
1,13,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,29,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HHHF', 'HHHG']"
1,88,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,29,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,68,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,82,0,1.0,0.8300415167526705,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,13,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'FFFF', 'FFFG']"
1,54,0,1.0,0.9445131481500655,"['SFHF', 'FFFF', 'FFHF', 'FFHG']"
1,25,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,54,0,1.0,0.9530650263643888,"['SHFF', 'FFFH', 'FHFF', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,46,0,1.0,0.9530650263643888,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,59,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFFF', 'HFHG']"
1,33,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,17,0,1.0,0.90289112180858,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,68,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FFFF', 'HFHG']"
1,16,0,1.0,0.7816331707050701,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,10,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHF', 'FFFG']"
1,35,0,1.0,0.860513950810667,"['SFHF', 'HFFF', 'FHFF', 'FFHG']"
1,61,0,1.0,0.8400771692771434,"['SHHF', 'FHHF', 'FFFF', 'FFHG']"
1,79,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,67,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,21,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FHHG']"
1,39,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9674905716180701,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,68,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.8502341582884777,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,16,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'HFFH', 'HFFG']"
1,40,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFHG']"
1,33,0,1.0,0.8152123778407558,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,92,0,1.0,0.8735386475474635,"['SHHF', 'FFFH', 'HHFF', 'HFFG']"
1,88,0,1.0,0.9332298921513504,"['SHFH', 'FHFH', 'FHHF', 'FFFG']"
1,20,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FFHG']"
1,20,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,70,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,41,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,28,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
