,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
835509,500,0.04,0.0,0.04,-0.0799999999999999,58,500.0,259.12410747446273
98373,500,0.16,0.0,0.08,0.16,63,293.0,195.1167571795629
852951,500,-0.0399999999999999,-0.12,-0.12,-0.0399999999999999,30,190.0,144.98628243442008
238292,500,0.12,0.08,0.08,0.16,76,242.0,172.22906135274312
335626,500,-0.12,0.04,0.16,-0.12,6,370.0,223.663465372492
537197,500,0.04,0.08,-0.0399999999999999,-0.0799999999999999,64,500.0,259.12410747446273
953509,500,-0.16,0.16,-0.2,0.04,81,230.0,166.31461104476787
544454,500,-0.0799999999999999,-0.16,0.12,-0.16,61,500.0,259.12410747446273
566810,500,0.08,-0.0799999999999999,0.04,-0.2,32,500.0,259.12410747446273
489250,500,-0.0799999999999999,-0.16,-0.2,0.0,87,183.0,140.98310051254907
413150,500,0.08,0.2,0.2,0.0,87,167.0,131.510553669984
223351,500,0.08,-0.0399999999999999,-0.2,-0.2,95,210.0,155.9707561419881
768585,500,-0.12,-0.0799999999999999,-0.12,0.12,61,500.0,259.12410747446273
594660,500,-0.0399999999999999,-0.12,-0.0399999999999999,-0.0399999999999999,2,500.0,259.12410747446273
363491,500,0.2,0.2,-0.0399999999999999,-0.16,76,500.0,259.12410747446273
478186,500,0.08,0.16,-0.0399999999999999,0.0,80,500.0,259.12410747446273
508537,500,0.04,-0.16,0.16,-0.16,12,500.0,259.12410747446273
301563,500,-0.0399999999999999,0.0,-0.16,0.08,56,314.0,203.56806917826825
885077,500,0.12,0.12,0.12,-0.2,64,500.0,259.12410747446273
850006,500,0.0,-0.0799999999999999,0.0,-0.0399999999999999,30,500.0,259.12410747446273
419116,500,0.12,-0.12,0.16,-0.0399999999999999,63,500.0,259.12410747446273
1019003,500,-0.0799999999999999,0.04,0.12,-0.2,19,500.0,259.12410747446273
993004,500,0.12,0.08,0.2,0.16,36,182.0,140.4043134529078
27115,500,-0.2,-0.12,0.0,0.08,93,500.0,259.12410747446273
777300,500,-0.0399999999999999,0.2,0.0,0.2,54,338.0,212.5958123313277
289394,500,-0.0399999999999999,-0.16,-0.16,-0.0799999999999999,1,19.0,18.495617283311493
1011009,500,0.0,-0.2,0.16,-0.2,16,490.0,256.86065199489315
1010215,500,0.08,0.12,-0.0799999999999999,-0.0399999999999999,77,500.0,259.12410747446273
90361,500,-0.2,0.2,-0.12,0.0,36,307.0,200.8100012548624
608143,500,0.04,0.0,-0.2,-0.0399999999999999,44,219.0,160.70248070472664
526518,500,-0.0399999999999999,-0.0799999999999999,-0.12,-0.0399999999999999,34,500.0,259.12410747446273
341192,500,-0.0399999999999999,0.12,0.12,0.2,45,186.0,142.70906434510624
111984,500,0.16,-0.12,0.04,-0.0399999999999999,66,426.0,240.64689665967987
793423,500,-0.0799999999999999,-0.12,-0.12,-0.0399999999999999,42,203.0,152.2010413562232
520256,500,0.2,0.04,0.2,-0.2,68,255.0,178.40026752807307
839467,500,-0.0799999999999999,-0.16,-0.16,0.12,4,168.0,132.11602200897406
1044640,500,0.2,0.08,-0.12,0.0,87,500.0,259.12410747446273
955328,500,-0.16,-0.12,0.08,-0.2,79,500.0,259.12410747446273
225230,500,0.08,-0.0399999999999999,-0.0399999999999999,0.04,63,497.0,258.45219701650115
514966,500,-0.0799999999999999,-0.16,-0.2,-0.16,82,146.0,118.36630208241962
934351,500,0.0,-0.16,0.16,-0.2,81,470.0,252.12452236252395
249020,500,-0.0399999999999999,-0.16,0.0,-0.0399999999999999,57,500.0,259.12410747446273
118759,500,-0.0799999999999999,0.08,-0.0399999999999999,0.2,72,500.0,259.12410747446273
5609,500,0.08,0.04,-0.12,-0.0399999999999999,22,500.0,259.12410747446273
478435,500,0.08,-0.12,-0.12,0.12,83,280.0,189.61139275745032
318335,500,0.12,0.16,-0.0399999999999999,0.16,95,418.0,238.39208897451192
687268,500,0.2,0.04,0.2,0.04,32,145.0,117.71946046381106
661788,500,-0.0799999999999999,-0.12,-0.16,0.0,71,214.0,158.08954862990785
283814,500,0.0,-0.0399999999999999,-0.0399999999999999,0.16,80,405.0,234.6104430719058
69760,500,0.04,-0.0399999999999999,0.04,0.12,58,500.0,259.12410747446273
133249,500,-0.16,-0.16,0.2,-0.0399999999999999,11,489.0,256.6305436257705
