,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
219731,500,-0.0199999999999999,-0.04,-0.04,-0.05,37,500.0,259.12410747446273
243811,500,-0.0099999999999999,0.05,-0.0099999999999999,-0.0099999999999999,100,500.0,259.12410747446273
48293,500,0.05,-0.0099999999999999,-0.0099999999999999,0.01,92,500.0,259.12410747446273
53006,500,0.04,0.05,0.05,0.05,24,500.0,259.12410747446273
151826,500,-0.04,-0.0099999999999999,-0.05,0.04,77,500.0,259.12410747446273
66867,500,-0.0199999999999999,0.04,0.05,0.03,63,419.0,238.6769127075884
133476,500,-0.0099999999999999,-0.0199999999999999,-0.03,0.0,31,500.0,259.12410747446273
17936,500,-0.05,-0.03,0.03,-0.04,28,295.0,195.94481268730016
19590,500,-0.03,-0.0099999999999999,0.03,0.02,58,500.0,259.12410747446273
203702,500,-0.0099999999999999,0.0,-0.0099999999999999,-0.03,58,327.0,208.5388138373145
18285,500,0.0,0.03,-0.03,-0.04,58,500.0,259.12410747446273
156200,500,-0.05,0.05,0.01,-0.04,94,484.0,255.4695739821452
95203,500,0.02,0.05,0.03,-0.03,36,500.0,259.12410747446273
189288,500,0.01,-0.0199999999999999,-0.03,0.05,17,500.0,259.12410747446273
52033,500,-0.0199999999999999,0.03,-0.0199999999999999,-0.0199999999999999,7,385.0,228.4963066538165
144421,500,0.03,0.04,-0.0099999999999999,0.02,46,500.0,259.12410747446273
69203,500,0.04,0.03,0.05,-0.0099999999999999,57,500.0,259.12410747446273
180472,500,-0.0199999999999999,-0.03,0.05,-0.04,88,500.0,259.12410747446273
165233,500,-0.0199999999999999,0.03,-0.0199999999999999,-0.04,6,455.0,248.3809089990244
176938,500,0.0,-0.0199999999999999,-0.0099999999999999,-0.04,17,485.0,255.7031652601988
21928,500,0.01,-0.03,0.02,0.04,23,500.0,259.12410747446273
184314,500,-0.03,0.01,0.01,0.03,82,500.0,259.12410747446273
181789,500,-0.04,-0.04,-0.03,-0.0099999999999999,79,500.0,259.12410747446273
16865,500,-0.03,0.02,0.03,0.01,19,421.0,239.24399932355723
175598,500,0.01,0.05,0.0,0.0,31,500.0,259.12410747446273
117380,500,0.04,0.02,-0.0199999999999999,-0.03,37,372.0,224.3204975514454
204059,500,0.03,0.01,0.02,0.03,74,500.0,259.12410747446273
71302,500,0.04,-0.05,0.0,-0.0199999999999999,8,500.0,259.12410747446273
210661,500,0.01,0.03,-0.04,0.03,99,500.0,259.12410747446273
73525,500,0.01,0.05,-0.0199999999999999,-0.03,34,500.0,259.12410747446273
146082,500,0.01,0.01,0.02,-0.0199999999999999,12,297.0,196.76790731449051
288934,500,0.05,-0.0099999999999999,-0.05,0.03,100,500.0,259.12410747446273
153937,500,0.01,-0.03,-0.0099999999999999,0.01,44,500.0,259.12410747446273
250022,500,0.05,0.0,-0.04,0.04,77,500.0,259.12410747446273
114254,500,0.04,-0.05,0.0,0.05,80,500.0,259.12410747446273
169959,500,-0.05,-0.0199999999999999,0.0,-0.04,30,500.0,259.12410747446273
19713,500,0.02,-0.05,-0.03,-0.03,34,245.0,173.6746543350403
220149,500,-0.0199999999999999,0.0,0.04,0.02,15,473.0,252.85321121600293
185843,500,0.05,0.01,-0.03,0.0,37,479.0,254.2910319592289
243496,500,-0.03,0.02,0.01,0.0,95,500.0,259.12410747446273
89890,500,0.01,0.02,0.03,-0.04,33,500.0,259.12410747446273
132739,500,0.03,0.05,0.03,0.03,92,500.0,259.12410747446273
164203,500,0.01,0.05,-0.05,0.02,66,500.0,259.12410747446273
118710,500,-0.05,0.05,-0.0199999999999999,0.04,71,500.0,259.12410747446273
166068,500,-0.04,-0.03,-0.04,0.01,44,500.0,259.12410747446273
247209,500,-0.03,0.01,0.01,-0.05,11,224.0,163.27645325787586
35351,500,-0.05,-0.05,-0.03,0.05,91,500.0,259.12410747446273
181186,500,0.01,-0.03,-0.05,0.03,68,500.0,259.12410747446273
44203,500,0.0,0.04,0.02,0.02,88,500.0,259.12410747446273
91061,500,0.03,0.02,0.0,-0.0099999999999999,72,500.0,259.12410747446273
152851,500,0.05,0.01,0.01,0.04,30,500.0,259.12410747446273
186379,500,-0.0199999999999999,-0.05,0.01,0.03,99,500.0,259.12410747446273
267603,500,0.04,-0.05,-0.04,-0.0099999999999999,10,342.0,214.03815578709015
81637,500,0.01,0.03,-0.05,-0.0199999999999999,73,500.0,259.12410747446273
249088,500,0.02,0.05,0.05,0.01,64,410.0,236.08242798092525
5090,500,0.0,-0.0199999999999999,0.04,0.02,97,500.0,259.12410747446273
162203,500,0.01,-0.0199999999999999,0.05,-0.05,80,500.0,259.12410747446273
28013,500,-0.0099999999999999,0.05,0.03,-0.04,81,500.0,259.12410747446273
125805,500,0.0,-0.03,0.01,0.01,6,468.0,251.63506805524293
206410,500,0.03,0.01,0.02,-0.04,94,500.0,259.12410747446273
115657,500,0.01,0.04,-0.03,0.0,82,500.0,259.12410747446273
68426,500,-0.0099999999999999,0.05,-0.0099999999999999,0.0,23,500.0,259.12410747446273
170395,500,0.01,-0.04,0.05,-0.05,15,500.0,259.12410747446273
98817,500,-0.05,-0.03,-0.03,0.02,95,500.0,259.12410747446273
244053,500,0.01,-0.0199999999999999,0.05,-0.0099999999999999,77,500.0,259.12410747446273
133201,500,-0.05,0.04,0.0,0.05,30,383.0,227.8644425290078
301369,500,-0.0199999999999999,-0.0199999999999999,0.01,0.03,63,500.0,259.12410747446273
25451,500,-0.0099999999999999,-0.04,0.03,-0.05,20,266.0,183.437052934862
54953,500,0.05,-0.05,-0.0199999999999999,0.01,68,500.0,259.12410747446273
228598,500,-0.04,-0.03,-0.03,0.01,100,500.0,259.12410747446273
