Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return
500,0.029634535312652588,-0.02977120690047741,0.03853379189968109,-0.04092809930443764,93,307.0
500,-0.01127149909734726,0.018238577991724014,-0.04782331362366676,0.02729462832212448,99,338.0
500,-0.022371796891093254,0.036929789930582047,-0.03510419651865959,0.005118086002767086,6,500.0
500,-0.031009230762720108,0.015941809862852097,-0.02575637400150299,-0.02296602353453636,100,372.0
500,0.04934632405638695,-0.013934697955846786,-0.04124516248703003,-0.048672180622816086,60,500.0
500,-0.03919312357902527,-0.021970709785819054,-0.03452833369374275,0.021654538810253143,18,297.0
500,-0.03970066085457802,0.04518307372927666,-0.006119767669588327,-0.026196947321295738,63,500.0
500,-0.032884277403354645,0.007906987331807613,-0.04408270865678787,-0.030920306220650673,46,294.0
500,0.016674712300300598,0.01556403934955597,-0.041512612253427505,0.03206999599933624,29,275.0
500,-0.027976978570222855,-0.03936687111854553,-0.049381595104932785,0.01917966641485691,100,239.0
