Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return
500,0.046137891709804535,-0.002528812037780881,0.019149258732795715,0.02834881842136383,5,303.0
500,-0.03880012035369873,-0.03092392161488533,-0.02677571028470993,0.03197347745299339,60,500.0
500,0.036175135523080826,0.0025435518473386765,-0.039486344903707504,-0.04426874220371246,58,500.0
500,0.020792532712221146,-0.0015958406729623675,-0.03304368630051613,-0.016043905168771744,93,343.0
500,-0.005584664177149534,0.024286547675728798,0.01645030826330185,-0.03199787810444832,40,500.0
500,-0.013016931712627411,0.011196770705282688,-0.025120466947555542,-0.03316304087638855,40,239.0
500,0.012434365227818489,0.043074801564216614,0.04215800389647484,0.03367431461811066,89,399.0
500,-0.027066528797149658,0.04522254317998886,-0.03556806594133377,0.004080578219145536,14,500.0
500,-0.017916861921548843,0.04045674949884415,-0.03639456629753113,-0.047030359506607056,53,333.0
500,-0.03627203032374382,0.025486132130026817,0.001292152563109994,-0.02576858177781105,99,318.0
