Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFHF', 'HFFH', 'HHFF', 'HHHG']",75,5,1.0,0.9304302024748964
1,"['SHHH', 'FHHH', 'FFHF', 'FFFG']",10,14,1.0,1.0
1,"['SHFH', 'FFFF', 'HHFF', 'FHFG']",99,10,1.0,0.997
1,"['SHHF', 'FHFF', 'FFFF', 'HHHG']",4,6,0.0,0.0
1,"['SHFF', 'FFFH', 'HFFF', 'HFHG']",90,6,1.0,0.994009
1,"['SFFH', 'FHFF', 'FFFF', 'FHFG']",36,14,1.0,1.0
1,"['SFFH', 'FFFH', 'HFHH', 'FFFG']",72,2,1.0,0.9502058312852957
1,"['SFFH', 'FHFF', 'FFFH', 'FHFG']",4,4,0.0,0.0
1,"['SHFH', 'FFHH', 'HFFF', 'HHHG']",76,4,1.0,0.988053892081
1,"['SFHF', 'FFHH', 'FFHF', 'FFFG']",25,12,1.0,0.991026973
1,"['SHHF', 'FHHH', 'FFFH', 'HFFG']",12,10,1.0,0.997
1,"['SHFF', 'FFHF', 'HFFF', 'HFHG']",90,5,1.0,0.991026973
1,"['SFFH', 'HHFF', 'HFHF', 'HFFG']",52,9,1.0,0.994009
1,"['SFFH', 'FHHF', 'FHFH', 'FFFG']",33,10,1.0,0.997
1,"['SFHF', 'FHFH', 'FFHF', 'HFFG']",65,11,1.0,1.0
1,"['SFHH', 'HFHH', 'HFHH', 'HFFG']",88,14,1.0,1.0
1,"['SHFF', 'FFFF', 'HFFH', 'FHFG']",22,3,1.0,0.9821344612135428
1,"['SFFH', 'HHFH', 'HFFF', 'FFHG']",36,0,1.0,0.9616943356035061
1,"['SHHH', 'FHHH', 'FFFF', 'HHHG']",48,4,0.0,0.0
1,"['SFFF', 'HFFF', 'HHHF', 'FFHG']",23,12,0.0,0.0
1,"['SFFH', 'HHFH', 'HHFF', 'HHHG']",75,11,1.0,1.0
1,"['SHHH', 'FFFF', 'FFFH', 'FFFG']",69,10,1.0,0.997
1,"['SFFF', 'HFHF', 'FFFH', 'FHFG']",63,9,1.0,0.9559328248389055
1,"['SFHF', 'HFFF', 'HHFF', 'HFHG']",30,7,1.0,0.997
1,"['SFHH', 'FFHH', 'HFFF', 'HHHG']",28,10,1.0,0.997
1,"['SFFH', 'FHFF', 'HHFF', 'FFHG']",62,12,0.0,0.0
1,"['SHHH', 'FFHH', 'HFHH', 'HFFG']",46,5,0.0,0.0
1,"['SFFF', 'FHHF', 'HFHF', 'FFHG']",52,9,0.0,0.0
1,"['SFFH', 'FFFF', 'FFFF', 'FHHG']",39,5,1.0,0.991026973
1,"['SHHF', 'FFHH', 'FHHH', 'FFFG']",64,3,0.0,0.0
1,"['SHFH', 'FHFF', 'FFHH', 'HFFG']",27,13,1.0,0.997
1,"['SHHH', 'FFHH', 'HFFH', 'HHFG']",92,4,1.0,0.9645880999032158
1,"['SFHH', 'FFFF', 'FFFH', 'HFFG']",72,9,1.0,0.994009
1,"['SFHF', 'HFHH', 'HFFH', 'FHFG']",67,14,1.0,1.0
1,"['SFFH', 'HFFF', 'FFHF', 'HFHG']",97,9,1.0,0.9821344612135428
1,"['SHHH', 'FHHH', 'FFFF', 'HHHG']",24,9,0.0,0.0
1,"['SHHF', 'FHHH', 'FFFF', 'HFFG']",69,11,1.0,1.0
1,"['SFFH', 'HFFF', 'HHFF', 'FFHG']",70,10,1.0,0.997
1,"['SHHH', 'FFFF', 'HHFF', 'HFHG']",44,0,0.0,0.0
1,"['SHHH', 'FFHH', 'HFFH', 'HHFG']",75,5,1.0,0.991026973
1,"['SHHH', 'FFFF', 'HHHF', 'HFHG']",40,11,1.0,1.0
1,"['SFHF', 'FHFH', 'FHHF', 'FFFG']",87,1,1.0,0.9248559951318693
1,"['SHHF', 'FHFH', 'FFHF', 'HFFG']",63,0,0.0,0.0
1,"['SHHH', 'FFFH', 'HHFF', 'HHFG']",70,0,1.0,0.803057341509771
1,"['SHHH', 'FHHH', 'FFFH', 'FFFG']",85,12,1.0,0.994009
1,"['SHHF', 'FFFH', 'HHFH', 'HHFG']",33,3,0.0,0.0
1,"['SHHH', 'FFFF', 'FHFH', 'FFFG']",46,4,0.0,0.0
1,"['SHHH', 'FFFF', 'FFFH', 'HFFG']",31,14,1.0,1.0
1,"['SHFH', 'FFHF', 'FFFH', 'FFFG']",10,9,0.0,0.0
1,"['SHFF', 'FFFF', 'HFFH', 'FFFG']",88,2,1.0,0.991026973
1,"['SHHH', 'FFFH', 'HFFH', 'HHFG']",43,0,0.0,0.0
1,"['SHFF', 'FHFH', 'FFHF', 'HFFG']",33,3,0.0,0.0
1,"['SFFF', 'FFFF', 'FFHF', 'HFFG']",22,7,1.0,0.997
1,"['SFFH', 'HHFF', 'FHFH', 'HFFG']",97,14,1.0,1.0
1,"['SFFH', 'HFFF', 'HFFF', 'HHHG']",90,10,1.0,0.997
1,"['SFHH', 'FFFH', 'FFFF', 'FFHG']",51,11,1.0,1.0
1,"['SFFH', 'HHFH', 'HFFF', 'HFHG']",59,9,1.0,0.988053892081
1,"['SFFH', 'FFHH', 'HFFF', 'HHFG']",37,1,1.0,0.9388545698794984
1,"['SHHH', 'FFHH', 'FHHH', 'FFFG']",37,0,0.0,0.0
1,"['SFFF', 'HHFF', 'FHFH', 'FFFG']",49,14,1.0,1.0
1,"['SHFH', 'FFHH', 'FFFH', 'FHFG']",69,8,1.0,0.8974819010978248
1,"['SFHH', 'FHFH', 'FFFH', 'HHFG']",25,1,0.0,0.0
1,"['SHFH', 'FHHF', 'FFFF', 'FFFG']",73,0,1.0,0.9733217421754432
1,"['SHHF', 'FFFH', 'HHFH', 'HHFG']",85,4,1.0,0.988053892081
1,"['SHHH', 'FHFF', 'FFFH', 'HHFG']",44,10,1.0,0.997
1,"['SFFH', 'FFHH', 'HFHF', 'HFFG']",82,13,1.0,0.997
1,"['SFFF', 'HFFF', 'HHFH', 'FFFG']",92,13,1.0,0.997
1,"['SFFH', 'FFFF', 'FFHH', 'FFFG']",94,7,0.0,0.0
1,"['SHHF', 'FHFH', 'FHHF', 'FFFG']",67,0,1.0,0.9332298921513504
1,"['SHFF', 'FFFF', 'FFFF', 'HFFG']",85,9,1.0,0.994009
1,"['SFFH', 'FHFF', 'FHFF', 'HFFG']",96,8,1.0,0.9674905716180701
1,"['SFHH', 'HFHH', 'HFFF', 'HHHG']",60,5,1.0,0.991026973
1,"['SHHH', 'FFFH', 'HHFH', 'FHFG']",82,12,0.0,0.0
