Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SHHH', 'FHHF', 'FFHF', 'HFFG']",1,7,0.0,0.0
1,"['SHFH', 'FFHF', 'FFFF', 'HFFG']",35,2,0.0,0.0
1,"['SFHH', 'HFFF', 'FHHF', 'FHHG']",17,8,0.0,0.0
1,"['SHFH', 'FFFH', 'HHFH', 'HHFG']",15,0,0.0,0.0
1,"['SHHF', 'FHFH', 'FFHH', 'HFFG']",78,3,0.0,0.0
1,"['SFFH', 'HFHF', 'HFFH', 'HFFG']",9,0,0.0,0.0
1,"['SFFF', 'FHFF', 'HFHF', 'FHHG']",16,2,1.0,0.985089730404757
1,"['SHHH', 'FHHH', 'FFFF', 'HFFG']",83,0,1.0,0.9791880578299021
1,"['SFHH', 'HFFF', 'HHHF', 'HHHG']",5,0,0.0,0.0
1,"['SFFF', 'FHFH', 'FFFF', 'HFFG']",36,9,1.0,0.994009
1,"['SHHH', 'FFFH', 'FFFF', 'HHHG']",27,9,1.0,0.994009
1,"['SFHH', 'FHHH', 'FFFH', 'HHFG']",1,1,0.0,0.0
1,"['SHHH', 'FHFH', 'FFFF', 'HHHG']",80,9,1.0,0.994009
1,"['SFFF', 'FFHF', 'FHFF', 'FFFG']",38,4,1.0,0.9791880578299021
1,"['SFFH', 'FHFF', 'FFFF', 'HHHG']",42,11,1.0,1.0
1,"['SHHH', 'FFHF', 'HFFF', 'FHHG']",26,12,0.0,0.0
1,"['SFFH', 'FHFH', 'FFFH', 'HHFG']",13,4,1.0,0.78398512608332
1,"['SHHH', 'FFFH', 'HFFH', 'FHFG']",82,10,1.0,0.997
1,"['SFHF', 'HFFF', 'HHFF', 'HFHG']",13,11,1.0,1.0
1,"['SFFF', 'HHFH', 'HFFH', 'HHFG']",47,1,1.0,0.9083329444789534
1,"['SFFF', 'HHFF', 'FHFH', 'HFFG']",70,3,1.0,0.9559328248389055
1,"['SFFH', 'HFFF', 'FHFF', 'HHHG']",91,5,1.0,0.991026973
1,"['SFHH', 'HFFH', 'FHFH', 'HFFG']",63,8,0.0,0.0
1,"['SHHH', 'FFHH', 'FFHF', 'FFFG']",27,11,1.0,1.0
1,"['SHFH', 'FFHH', 'HFHH', 'FFFG']",39,9,1.0,0.994009
1,"['SFHH', 'FHFH', 'FFFH', 'HHFG']",44,4,0.0,0.0
1,"['SFFF', 'FHHF', 'FFFF', 'HFHG']",23,7,1.0,0.997
1,"['SFHH', 'HFFH', 'FHFF', 'HFHG']",60,0,1.0,0.9110661429076764
