Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFHF', 'FFFH', 'FFFF', 'FFFG']",19,13,1.0,0.997
1,"['SHHH', 'FFFH', 'HHFF', 'FHFG']",85,5,1.0,0.991026973
1,"['SFFH', 'HHFF', 'FHFH', 'FFFG']",65,10,1.0,0.997
1,"['SFFF', 'FFHF', 'HFFH', 'HFFG']",30,9,1.0,0.994009
1,"['SHHH', 'FFFF', 'HFHF', 'FFFG']",5,12,0.0,0.0
1,"['SFHH', 'FFHH', 'HFFF', 'FFFG']",31,1,1.0,0.9559328248389055
1,"['SHHF', 'FFFH', 'HHFH', 'FFFG']",84,13,1.0,0.997
1,"['SHHF', 'FHHH', 'FFFF', 'FHHG']",99,0,1.0,0.9110661429076764
1,"['SFFF', 'HFHF', 'HFHF', 'HFFG']",58,11,1.0,1.0
1,"['SFFH', 'FFFH', 'FFFF', 'FFFG']",84,8,1.0,0.991026973
1,"['SFHF', 'FFHF', 'HFHF', 'HFFG']",27,5,1.0,0.991026973
1,"['SFFH', 'FFFH', 'HFFF', 'HHFG']",68,4,1.0,0.9530650263643888
1,"['SFFH', 'HHFF', 'HHFF', 'HHHG']",99,1,1.0,0.985089730404757
1,"['SHHH', 'FFHH', 'FFFF', 'HFHG']",58,4,0.0,0.0
1,"['SHFF', 'FFFF', 'FFHF', 'FFFG']",93,9,1.0,0.994009
1,"['SFFH', 'FFFF', 'HHHF', 'FFHG']",60,13,0.0,0.0
1,"['SFFH', 'HFHF', 'FFFH', 'FFFG']",77,10,1.0,0.997
1,"['SHFH', 'FFFF', 'HHFF', 'FHHG']",79,10,1.0,0.997
1,"['SHHH', 'FHHH', 'FHFH', 'FFFG']",90,0,1.0,0.9616943356035061
1,"['SFHH', 'HFFH', 'HHFF', 'HFFG']",63,13,1.0,0.997
1,"['SHFF', 'FFHF', 'HFFF', 'FFFG']",31,13,1.0,0.997
1,"['SHHF', 'FFFH', 'HHFH', 'FHFG']",61,6,1.0,0.994009
1,"['SFHF', 'FFFF', 'FFFF', 'HFHG']",49,10,1.0,0.997
1,"['SFHH', 'HFHH', 'HFFH', 'FHFG']",31,14,1.0,1.0
1,"['SHHF', 'FHFF', 'FHFH', 'FFFG']",93,14,1.0,1.0
1,"['SFHH', 'HFHH', 'HFFF', 'FHHG']",95,12,0.0,0.0
1,"['SFHF', 'FFFF', 'FFFF', 'FHFG']",38,11,1.0,1.0
1,"['SFHH', 'HFFH', 'HFHH', 'HFFG']",66,14,1.0,1.0
1,"['SFFF', 'HFFH', 'FFHF', 'FFFG']",15,6,1.0,0.7699788094052729
1,"['SHHH', 'FHHH', 'FFFF', 'HHFG']",79,11,1.0,1.0
1,"['SHFF', 'FFFH', 'HFHH', 'HFFG']",59,6,0.0,0.0
1,"['SFFF', 'HFHH', 'FFFF', 'HFHG']",34,2,0.0,0.0
1,"['SFHF', 'HFFH', 'HHFF', 'HHFG']",40,5,1.0,0.991026973
1,"['SFFH', 'FFFF', 'FFFF', 'FFHG']",53,13,1.0,0.9762504936564125
1,"['SFHH', 'FFFH', 'HHFF', 'HHFG']",60,10,1.0,0.997
1,"['SFFF', 'FFHF', 'HFHF', 'FFFG']",98,9,1.0,0.994009
1,"['SFHF', 'FFHF', 'HFHH', 'FFFG']",40,14,1.0,1.0
1,"['SFFH', 'FFFF', 'HFHF', 'FHFG']",64,14,1.0,1.0
1,"['SFHF', 'HFHH', 'HFHF', 'FFFG']",96,0,1.0,0.9083329444789534
1,"['SFHH', 'HFFF', 'FHHF', 'HHHG']",93,11,1.0,1.0
1,"['SFHF', 'FFFF', 'HHHF', 'HFHG']",63,7,1.0,0.997
1,"['SFFF', 'FHFF', 'HHFH', 'HFFG']",83,13,1.0,0.997
1,"['SHFF', 'FFFF', 'HHHF', 'HFFG']",77,2,1.0,0.991026973
