Temperature,Map,Simulations,Initial State,Return,Discounted Return
1,"['SFFF', 'FFHF', 'HHHF', 'HHHG']",9,3,1.0,0.9645880999032158
1,"['SHHH', 'FHHH', 'FFFH', 'HFFG']",43,9,1.0,0.994009
1,"['SFFF', 'FFHH', 'HFFF', 'FFFG']",76,0,1.0,0.9762504936564125
1,"['SFFH', 'HHFF', 'FFFH', 'HHFG']",97,10,1.0,0.997
1,"['SHFF', 'FFFF', 'HHHF', 'HHFG']",18,4,0.0,0.0
1,"['SFFF', 'HFFF', 'FHFH', 'FHFG']",49,14,1.0,1.0
1,"['SHHF', 'FFFF', 'FHFF', 'FFHG']",63,10,1.0,0.997
1,"['SHFF', 'FHFF', 'FFFF', 'FFFG']",3,11,1.0,1.0
1,"['SFHH', 'FHHF', 'FFFH', 'HFFG']",85,10,1.0,0.997
1,"['SFHF', 'HFHF', 'HFFF', 'HHHG']",38,11,1.0,1.0
1,"['SFFH', 'HFFF', 'FFHH', 'HFFG']",69,1,1.0,0.9559328248389055
1,"['SFHH', 'HFFH', 'HHFF', 'HHHG']",26,6,0.0,0.0
1,"['SHHH', 'FFFF', 'HHFF', 'HHFG']",66,14,1.0,1.0
1,"['SFHH', 'FHHF', 'FFHF', 'HFFG']",57,11,1.0,1.0
1,"['SFFH', 'HFHH', 'FFFF', 'HHHG']",99,10,1.0,0.997
1,"['SFFF', 'FHHF', 'HHHF', 'FFHG']",92,7,1.0,0.997
1,"['SHHH', 'FHFH', 'FHHF', 'FFFG']",77,11,1.0,1.0
1,"['SFFH', 'FHFH', 'FHFF', 'HFFG']",27,14,1.0,1.0
1,"['SFFF', 'FFFH', 'FFHF', 'FFFG']",24,6,1.0,0.9791880578299021
1,"['SHFF', 'FFFF', 'FHFF', 'FHFG']",48,2,1.0,0.988053892081
1,"['SFFF', 'HFHF', 'HFFF', 'FHHG']",38,7,1.0,0.997
1,"['SFFH', 'FHFH', 'FHFF', 'FHFG']",37,4,1.0,0.9674905716180701
1,"['SHFH', 'FFFH', 'HHFF', 'HFFG']",18,10,1.0,0.997
1,"['SFFF', 'HFFH', 'HHFH', 'FFFG']",44,12,1.0,0.994009
1,"['SHFH', 'FFFF', 'FHFF', 'FFHG']",12,4,0.0,0.0
1,"['SFFF', 'HHHF', 'FHFF', 'HHHG']",8,8,0.0,0.0
1,"['SFHF', 'HFFH', 'HHFH', 'FHFG']",95,6,1.0,0.994009
1,"['SHFH', 'FFFF', 'HFFF', 'HHHG']",64,2,1.0,0.991026973
1,"['SFFH', 'HHFH', 'FFFF', 'FHHG']",75,10,1.0,0.997
1,"['SFHH', 'HFFF', 'HHHF', 'HFFG']",87,0,1.0,0.9530650263643888
1,"['SFHH', 'FFHH', 'FFFF', 'FFFG']",58,11,1.0,1.0
1,"['SFFH', 'HHFH', 'HHFH', 'FFFG']",31,6,1.0,0.994009
1,"['SFFH', 'FHFH', 'FHFF', 'HFHG']",14,2,1.0,0.9588092525966956
1,"['SHFH', 'FFFF', 'FHFF', 'HFFG']",69,8,1.0,0.985089730404757
1,"['SHFH', 'FFFH', 'FFHF', 'FFFG']",2,11,1.0,1.0
1,"['SFFH', 'HHFH', 'HHFF', 'HHHG']",2,6,0.0,0.0
1,"['SHHH', 'FHHF', 'FFFH', 'HHFG']",60,10,1.0,0.997
1,"['SFFH', 'HHFH', 'HHFF', 'FHHG']",2,12,0.0,0.0
1,"['SHFH', 'FFFF', 'HHHF', 'FFHG']",86,12,0.0,0.0
1,"['SFFH', 'HFFF', 'HFHF', 'FHHG']",54,0,1.0,0.9445131481500655
1,"['SHFF', 'FFFF', 'FFFF', 'FFFG']",13,10,1.0,0.997
1,"['SFFF', 'HFFH', 'FFHF', 'FFFG']",88,1,1.0,0.9704017769489168
1,"['SFHH', 'HFFF', 'HHHF', 'HFFG']",44,7,1.0,0.997
1,"['SFHF', 'FFFF', 'FFHF', 'FFFG']",64,9,1.0,0.994009
1,"['SHHF', 'FFHH', 'HFFH', 'HFFG']",97,13,1.0,0.997
1,"['SFHF', 'HFFH', 'HHFH', 'HFFG']",16,0,0.0,0.0
1,"['SFFH', 'HFFF', 'HHFH', 'FFFG']",38,2,1.0,0.9559328248389055
1,"['SFHH', 'HFHF', 'HFHH', 'FFFG']",64,14,1.0,1.0
1,"['SFFH', 'FHFF', 'HHHF', 'HFHG']",98,13,0.0,0.0
1,"['SHFF', 'FFFF', 'HFHF', 'HHHG']",39,2,1.0,0.985089730404757
1,"['SHHH', 'FFHH', 'HFFF', 'HHHG']",7,11,1.0,1.0
1,"['SFFF', 'HHHF', 'HHHF', 'FFHG']",72,2,1.0,0.991026973
1,"['SFFF', 'FHFH', 'FFFH', 'FHFG']",29,8,1.0,0.9388545698794984
1,"['SFFH', 'HFFF', 'HHFH', 'HFFG']",66,5,1.0,0.991026973
1,"['SHHH', 'FHHH', 'FFHH', 'FFFG']",61,13,1.0,0.997
1,"['SFFH', 'HFFH', 'FFFF', 'FFHG']",69,1,1.0,0.9821344612135428
1,"['SFHF', 'FFHH', 'HFFH', 'FFFG']",2,14,1.0,1.0
1,"['SHFH', 'FFFH', 'FHFF', 'HHHG']",37,11,1.0,1.0
1,"['SHHH', 'FFFF', 'FHFF', 'HFHG']",78,8,0.0,0.0
1,"['SHHH', 'FFFF', 'HHHF', 'HFHG']",41,4,0.0,0.0
1,"['SHHF', 'FFFF', 'HHFF', 'HHHG']",82,0,1.0,0.9762504936564125
1,"['SFHH', 'HFFH', 'HFFF', 'FHFG']",58,10,1.0,0.997
1,"['SHHH', 'FFFF', 'FHFH', 'FHFG']",20,14,1.0,1.0
1,"['SFFH', 'FHHF', 'FFHH', 'HFFG']",69,4,1.0,0.988053892081
1,"['SHHH', 'FFFH', 'FHFF', 'HHHG']",39,0,0.0,0.0
1,"['SFHF', 'FFFH', 'HFFF', 'FHFG']",60,3,0.0,0.0
1,"['SHFF', 'FFHF', 'HFFF', 'HFHG']",49,10,1.0,0.997
1,"['SHFH', 'FFFH', 'HFFH', 'HHFG']",44,14,1.0,1.0
1,"['SHFF', 'FFFF', 'HFFF', 'HHHG']",15,7,1.0,0.997
