,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
45428,500,0.2,0.12,0.2,-0.0799999999999999,1,4.0,3.982035973
707633,500,-0.12,0.0,0.12,0.04,4,154.0,123.4716629547754
129060,500,0.2,0.0,-0.0399999999999999,0.2,97,500.0,259.12410747446273
923689,500,-0.12,0.2,0.12,-0.0799999999999999,73,289.0,193.44564374317935
749474,500,0.08,-0.2,0.0,0.04,71,346.0,215.46326885227384
1003690,500,0.16,0.04,-0.2,0.12,30,242.0,172.22906135274312
304826,500,0.12,0.2,0.16,-0.0399999999999999,57,209.0,155.43706734402016
700507,500,-0.2,-0.12,-0.0799999999999999,-0.2,51,304.0,199.61009906322943
282659,500,0.04,-0.12,0.16,0.0,44,458.0,249.1431893962916
747823,500,-0.16,0.04,-0.16,0.12,35,397.0,232.20878496903543
1034373,500,-0.0399999999999999,-0.0799999999999999,-0.0799999999999999,-0.0399999999999999,33,438.0,243.9290994954942
360350,500,0.0,0.04,-0.16,0.2,17,500.0,259.12410747446273
81748,500,-0.2,-0.0799999999999999,0.16,-0.2,93,500.0,259.12410747446273
320975,500,0.04,-0.0799999999999999,-0.0399999999999999,-0.2,77,500.0,259.12410747446273
105079,500,-0.12,0.04,0.04,0.2,100,397.0,232.20878496903543
362370,500,0.16,0.0,-0.0799999999999999,-0.0399999999999999,87,383.0,227.8644425290078
942312,500,0.0,-0.12,-0.2,-0.12,68,177.0,137.48414931924944
894215,500,-0.12,0.12,0.12,-0.12,33,292.0,194.70085975883944
432135,500,0.0,0.2,-0.12,-0.16,33,402.0,233.71657924784432
41297,500,0.16,-0.2,0.12,-0.0399999999999999,17,500.0,259.12410747446273
756580,500,-0.2,0.08,0.2,-0.2,91,380.0,226.9094985863798
247795,500,-0.0399999999999999,-0.12,-0.12,-0.12,56,263.0,182.07985135724655
50035,500,-0.12,0.2,-0.16,-0.2,12,500.0,259.12410747446273
948967,500,0.2,-0.0799999999999999,-0.0399999999999999,0.16,94,500.0,259.12410747446273
686999,500,-0.0399999999999999,-0.2,0.0,0.16,50,460.0,249.64757254861843
346510,500,0.04,0.0,-0.2,0.08,39,248.0,175.1072759724763
328313,500,0.0,0.16,-0.0399999999999999,-0.2,2,166.0,130.9032634603651
132113,500,-0.16,0.08,0.12,-0.0399999999999999,73,370.0,223.663465372492
97557,500,-0.16,0.08,0.08,-0.0799999999999999,74,500.0,259.12410747446273
437286,500,-0.2,0.0,-0.0799999999999999,-0.0799999999999999,16,190.0,144.98628243442008
482609,500,0.0,0.0,-0.12,-0.12,8,273.0,186.5566856540278
877996,500,-0.0399999999999999,0.04,0.04,0.0,81,500.0,259.12410747446273
600533,500,-0.0399999999999999,0.2,-0.2,0.2,15,380.0,226.9094985863798
621200,500,-0.0799999999999999,0.0,-0.16,0.04,31,246.0,174.15363037203517
3420,500,0.0,0.04,-0.16,0.0,58,312.0,202.78595986381237
538435,500,0.2,-0.2,-0.0799999999999999,0.0,20,353.0,217.91637381783931
899118,500,-0.0399999999999999,0.04,-0.12,0.08,80,397.0,232.20878496903543
861821,500,-0.0399999999999999,0.12,-0.0799999999999999,0.12,35,500.0,259.12410747446273
541421,500,-0.16,-0.16,-0.16,0.0,35,403.0,234.0154295101008
865188,500,0.04,0.12,0.0,0.0,22,306.0,200.41123495974165
53089,500,0.0,-0.0799999999999999,0.0,0.12,100,500.0,259.12410747446273
468372,500,-0.12,0.12,0.2,0.08,20,143.0,116.41993227808908
531156,500,0.04,-0.16,0.0,-0.0799999999999999,80,500.0,259.12410747446273
510082,500,0.12,-0.16,0.04,0.04,87,500.0,259.12410747446273
217971,500,-0.16,-0.2,0.04,0.0,40,500.0,259.12410747446273
200241,500,0.16,0.16,-0.0799999999999999,0.16,28,500.0,259.12410747446273
658666,500,-0.2,-0.12,-0.16,-0.0399999999999999,72,215.0,158.61527998401812
571479,500,-0.0399999999999999,0.2,0.08,0.12,17,346.0,215.46326885227384
