,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
318659,500,0.0,0.0,0.04,0.08,57,500.0,259.12410747446273
88498,500,0.12,0.12,0.16,0.04,33,177.0,137.48414931924944
43052,500,-0.12,0.16,-0.12,0.0,57,472.0,252.61104434905008
600907,500,0.04,0.2,-0.12,0.04,81,500.0,259.12410747446273
484647,500,-0.0399999999999999,0.16,-0.16,0.0,44,500.0,259.12410747446273
57589,500,0.2,0.16,-0.16,0.04,56,500.0,259.12410747446273
217871,500,-0.12,-0.0799999999999999,0.04,-0.2,58,500.0,259.12410747446273
837011,500,0.04,-0.0399999999999999,0.04,-0.2,64,500.0,259.12410747446273
955099,500,-0.2,0.04,0.04,-0.16,92,411.0,236.37418069698248
347891,500,-0.0799999999999999,-0.0399999999999999,-0.12,-0.0399999999999999,37,358.0,219.6372718000786
531663,500,-0.0399999999999999,-0.0399999999999999,-0.2,-0.12,30,211.0,156.5028438735621
937685,500,-0.16,0.08,-0.0399999999999999,-0.16,76,500.0,259.12410747446273
246375,500,0.2,-0.0799999999999999,-0.0399999999999999,0.16,54,432.0,242.30278978905156
1016708,500,-0.2,0.08,0.08,-0.2,1,26.0,25.04800162271025
959534,500,-0.0799999999999999,-0.12,-0.16,-0.2,49,193.0,146.6763256075064
485266,500,0.16,-0.0399999999999999,0.2,0.08,31,444.0,245.5263543027976
309926,500,-0.16,0.2,0.12,-0.0399999999999999,91,220.0,161.22037326261247
811414,500,0.12,-0.2,-0.0799999999999999,-0.0799999999999999,61,225.0,163.78662389810222
452634,500,-0.0799999999999999,0.2,0.2,-0.16,4,144.0,117.07067248125485
923693,500,-0.16,0.16,0.0,0.12,32,386.0,228.81081773385503
45515,500,-0.16,-0.16,-0.12,0.12,52,310.0,201.9991366917325
769215,500,-0.0399999999999999,-0.12,-0.2,0.08,95,219.0,160.70248070472664
302856,500,0.12,0.16,-0.16,-0.0399999999999999,64,500.0,259.12410747446273
457138,500,-0.0399999999999999,-0.16,-0.16,-0.2,40,181.0,139.8237848073298
821796,500,-0.12,0.2,-0.0399999999999999,0.2,63,500.0,259.12410747446273
1000507,500,-0.0799999999999999,-0.12,0.16,-0.16,68,500.0,259.12410747446273
